ta_context,ta_question,ta_answer_text,en_context,en_question,en_answer_text,answer_start
"தற்போதைய போக்குகள் தொடர்ந்தால், கிறிஸ்தவம் 2050 வாக்கில் உலகின் மிகப்பெரிய மதமாக இருக்கும். 2050 வாக்கில், கிறிஸ்தவ மக்கள் தொகை 3 பில்லியனுக்கு மேல் இருக்கும் என்று எதிர்பார்க்கப்படுகிறது. முஸ்லீம்கள் ஒரு பெண்ணுக்கு சராசரியாக 3.1 குழந்தைகளைக் கொண்டிருக்கிறார்கள்-இது அனைத்து மத குழுக்களிலும் மிக உயர்ந்த விகிதமாகும். கிறித்தவர்கள் இரண்டாவது இடத்தில் உள்ளனர், ஒரு பெண்ணுக்கு 2.7 குழந்தைகள். உயர் பிறப்பு விகிதமும் மதமாற்றமும் கிறிஸ்தவ மக்கள் தொகை வளர்ச்சிக்கான காரணங்களாக மேற்கோள் காட்டப்பட்டுள்ளன. 2015 ஆய்வில் தோராயமாக 10.2 மில்லியன் முஸ்லீம்கள் கிறிஸ்தவத்திற்கு மாறினர். ஆப்பிரிக்கா, ஆசியா, லத்தீன் அமெரிக்கா, முஸ்லீம் உலகம் மற்றும் ஓசியானியாவில் கிறித்தவம் வளர்ந்து வருகிறது.","போக்கு தொடருமானால், 2050-க்குள் எந்த மதத்தைப் பின்பற்றுவோர் அதிகமாக இருப்பார்கள்?",கிறிஸ்தவம்,"According to 2012 Pew Research Center survey if current trends continue, Christianity will remains the world's largest religion by year 2050. By 2050, the Christian population is expected to exceed 3 billion. While Muslims have an average of 3.1 children per woman—the highest rate of all religious groups. Christians are second, with 2.7 children per woman. High birth rates and conversion were cited as the reason for the Christian population growths. A 2015 study found that approximately 10.2 million Muslim converted to Christianity. Christianity is growing in Africa, Asia, Latin America, Muslim world, and Oceania.",Which religion will have the most followers by the year 2050 if trends continue?,Christianity,32
"பியோன்சியார்ட் டெக்சாஸின் பிரெடெரிக்ஸ்பர்க்கில் உள்ள புனித மேரி தொடக்கப் பள்ளியில் பயின்றார், அங்கு அவர் நடன வகுப்புகளில் சேர்ந்தார். நடன பயிற்றுவிப்பாளர் டார்லெட் ஜான்சன் ஒரு பாடலை முழங்க ஆரம்பித்தபோது அவரது பாடும் திறமை கண்டுபிடிக்கப்பட்டது, அதை முடித்தார், உயர்ந்த நோட்டுகளை அடிக்க முடிந்தது. 7 வயதில் ஒரு பள்ளி திறமை நிகழ்ச்சியை வென்ற பின்னரும் பியான்சியார்டின் ஆர்வம் தொடர்ந்தது, 15/16 வயதுடையவர்களைத் தோற்கடிக்க ஜான் லென்னனின் இமேஜினை பாடினார். 1990 ஆம் ஆண்டின் இலையுதிர் காலத்தில், பியோன்சியார்ட் ஹூஸ்டனில் உள்ள பார்க்கர் தொடக்கப் பள்ளியில் சேர்ந்தார், அங்கு அவர் பள்ளியின் பாடகர்குழுவுடன் நிகழ்த்தினார். அவர் நிகழ்த்தும் கலை மற்றும் காட்சி உயர்நிலைப் பள்ளியிலும் கலந்து கொண்டார். பின்னர் எலிசெஃப் உயர்நிலைப் பள்ளியிலும் இரண்டு ஆண்டுகளுக்கு செயிட் ஜான் மெ",எந்த ஊரில் பியான்சே பள்ளிக்குச் சென்றார்?,பிரெடெரிக்ஸ்பர்க்,"Beyoncé attended St. Mary's Elementary School in Fredericksburg, Texas, where she enrolled in dance classes. Her singing talent was discovered when dance instructor Darlette Johnson began humming a song and she finished it, able to hit the high-pitched notes. Beyoncé's interest in music and performing continued after winning a school talent show at age seven, singing John Lennon's ""Imagine"" to beat 15/16-year-olds. In fall of 1990, Beyoncé enrolled in Parker Elementary School, a music magnet school in Houston, where she would perform with the school's choir. She also attended the High School for the Performing and Visual Arts and later Alief Elsik High School. Beyoncé was also a member of the choir at St. John's United Methodist Church as a soloist for two years.",What town did Beyonce go to school in?,Fredericksburg,26
"1901 முதல் 1972 வரையான காலப்பகுதியில் அமெரிக்கர்களுக்கு நோபல் பரிசு வழங்கப்பட்டபோது, 72% அமெரிக்க நோபல் பரிசு பெற்றவர்கள் ஒரு புராட்டஸ்டன்ட் பின்னணியைக் கொண்டிருந்தனர். மொத்தத்தில், 1901 முதல் 1972 வரையான காலப்பகுதியில் அமெரிக்கர்களுக்கு வழங்கப்பட்ட வேதியியலுக்கான நோபல் பரிசுகளில் 84.2%, மருத்துவத்திற்கான நோபல் பரிசு பெற்றவர்களில் 60% மற்றும் இயற்பியலுக்கான நோபல் பரிசு பெற்றவர்களில் 58.6% பேர் புராட்டஸ்டன்ட் பின்னணியைச் சேர்ந்தவர்கள்.","அமெரிக்காவில், 1901-க்கும் 1972-க்கும் இடைப்பட்ட காலத்தில் நோபல் பரிசு பெற்றவர்களில் எந்தத் தொகுதியினர் அதிக சதவீதத்தினராக இருந்தனர்?",புராட்டஸ்டன்ட்,"According to Scientific Elite: Nobel Laureates in the United State by Harriet Zuckerman, a review of American Nobel prizes awarded between 1901 and 1972, 72% of American Nobel Prize laureates identified a Protestant background. Overall, Protestants have won a total of 84.2% of all the Nobel Prizes in Chemistry, 60% in Medicine, and 58.6% in Physics awarded to Americans between 1901 and 1972.",What denomination of Christianity had the highest percentage of Nobel Prize winners between 1901 and 1972 in America?,Protestant,126
2004 ஆம் ஆண்டில் SME மற்றும் Bertelsmann Music Group ஆகியவை Sony BMG Music Entertainment ஆக இணைந்தன.,எந்த ஆண்டில் SME மற்றொரு நிறுவனத்துடன் இணைந்தது?,2004,"In 2004, SME and Bertelsmann Music Group merged as Sony BMG Music Entertainment. When Sony acquired BMG's half of the conglomerate in 2008, Sony BMG reverted to the SME name. The buyout led to the dissolution of BMG, which then relaunched as BMG Rights Management. Out of the ""Big Three"" record companies, with Universal Music Group being the largest and Warner Music Group, SME is middle-sized.",In what year did SME merge with another company?,2004,0
"இந்த மனச்சோர்வு சில ஆண்டுகளுக்கு நீடித்தது, அவ்வப்போது அவர் தனது படுக்கையறையில் சில நாட்களாக தன்னை வைத்திருந்தார் மற்றும் எதையும் சாப்பிட மறுத்தார். டெஸ்டினியின் குழந்தை முதல் கிராமி விருதை வென்றிருந்ததால் தனது மனச்சோர்வைப் பற்றி பேச போராடினார் என்று பியோன்சாலிகர் கூறினார், மேலும் யாரும் தன்னை தீவிரமாக எடுத்துக் கொள்வார்களோ என்று அவர் பயப்படவில்லை.",பெயோன்ஸ் என்ன மனநல பிரச்சனையை சந்தித்தார்?,மனச்சோர்வு,"LeToya Luckett and Roberson became unhappy with Mathew's managing of the band and eventually were replaced by Farrah Franklin and Michelle Williams. Beyoncé experienced depression following the split with Luckett and Roberson after being publicly blamed by the media, critics, and blogs for its cause. Her long-standing boyfriend left her at this time. The depression was so severe it lasted for a couple of years, during which she occasionally kept herself in her bedroom for days and refused to eat anything. Beyoncé stated that she struggled to speak about her depression because Destiny's Child had just won their first Grammy Award and she feared no one would take her seriously. Beyoncé would later speak of her mother as the person who helped her fight it. Franklin was dismissed, leaving just Beyoncé, Rowland, and Williams.",What mental health issue did Beyonce go through?,depression,5
"1929 ஆம் ஆண்டில், ARC பல சிறிய பதிவு நிறுவனங்களின் இணைப்பின் மூலம் நிறுவப்பட்டது, அவை இறுதியாக SME என்று அழைக்கப்படும் ஒரு நிறுவனமாக மாற்றப்பட்டது. பெருமந்த நிலையின் ஆழத்தில், அமெரிக்காவில் கொலம்பியா ஃபோனோகிராஃப் நிறுவனம் (1888 இல் நிறுவப்பட்டது) (அதன் ஓக் ரெக்கார்ட்ஸ் துணை நிறுவனம் உட்பட) 1934 ஆம் ஆண்டில் ARC ஆல் கையகப்படுத்தப்பட்டது.",எந்த ஆண்டில் ARC உருவானது?,1929,"In 1929, ARC was founded through a merger of several smaller record companies, which, ultimately, transformed into one enterprise known as SME. In the depths of the Great Depression, the Columbia Phonograph Company (founded in 1888) in the U.S. (including its Okeh Records subsidiary) was acquired by ARC in 1934.",In what year did ARC form?,1929,0
"1953 ஆம் ஆண்டில் கொலம்பியா எபிக் ரெக்கார்ட்ஸ் நிறுவனத்தை நிறுவியது. 1956 ஆம் ஆண்டில் கொலம்பியாவை விட்டு வெளியேறிய கான்க்ளிங், புதிதாக தொடங்கப்பட்ட வார்னர் பிரதர்ஸ் ரெக்கார்ட்ஸின் முதல் தலைவராக வருவதற்கு முன்னர் தேசிய ரெக்கார்ட்டிங் கலை மற்றும் அறிவியல் அகாடமியை நிறுவ உதவினார். கோடார்டு லிபர்சன் ரெக்கார்டு நிறுவனத்தின் முதல் தலைவராக இருந்தார். 1958 ஆம் ஆண்டில், கொலம்பியா டேட் ரெக்கார்ட்ஸ் என்ற மற்றொரு லேபிளை நிறுவியது, இது ஆரம்பத்தில் ராக்கில்லி இசையை வெளியிட்டது.",காப்பியப் பதிவுகள் எந்த ஆண்டில் படைக்கப்பட்டன?,1953,"Columbia founded Epic Records in 1953. In 1956, Conkling left Columbia, he would help establish the National Academy of Recording Arts and Sciences before eventually becoming the first president of the newly launched Warner Bros. Records, and Goddard Lieberson began the first of two stints as head of the record company. In 1958, Columbia founded another label, Date Records, which initially issued rockabilly music.",In what year was Epic Records created?,1953,0
1960 ஆம் ஆண்டில் கொலம்பியா/CBS அதன் பிரதான சர்வதேச விநியோகஸ்தரான பிலிப்ஸ் ரெக்கார்ட்ஸுடன் அதன் சொந்த உலகளாவிய ரெக்கார்ட்ஸ் நிறுவனத்தைத் தொடங்கும் நோக்கத்துடன் பேச்சுவார்த்தைகளைத் தொடங்கியது. 1961 ஆம் ஆண்டில் அமெரிக்காவில் பிலிப்ஸின் மெர்க்குரி ரெக்கார்ட்ஸ் கையகப்படுத்தப்பட்டது இதற்கு வழிவகுத்தது. வட அமெரிக்காவில் கொலம்பியா என்ற பெயருக்கான உரிமையை மட்டுமே CBS கொண்டிருந்தது. எனவே 1961 ஆம் ஆண்டில் நிறுவப்பட்ட சர்வதேச அமைப்பானது 1962 ஆம் ஆண்டில் CBS ரெக்கார்ட்ஸ் என்ற பெயரைப் பயன்படுத்திக் கொண்டது. ஐரோப்பாவில் பிலிப்ஸ் ரெக்கார்ட்ஸ் இந்த லேபிளை விநியோகித்தது. CBS இன் மெக்சிகோ ரெக்கார்ட்ஸ் நிறுவனமான டிஸ்கோஸ் கொலம்பியா 1963 ஆம் ஆண்டில் டிஸ்கோஸ் CBS என பெயர் மாற்றப்பட்டது.,எந்த ஆண்டில் மெர்குரி ரெக்கார்ட்ஸ் (அமெரிக்கா) வாங்கப்பட்டது?,1961,"In 1960, Columbia/CBS began negotiations with its main international distributor Philips Records with the goal of CBS starting its own global record company. Philips' acquisition of Mercury Records in the US in 1961 paved the way for this. CBS only had the rights to the Columbia name in North America; therefore the international arm founded in 1961 and launched in 1962 utilized the ""CBS Records"" name only, with Philips Records distributing the label in Europe. CBS's Mexican record company, Discos Columbia, was renamed Discos CBS by 1963.",In what year was Mercury Records (US) bought out?,1961,191
"""52 வது வருடாந்திர கிராமி விருதுகளில்,"" ""ஐ ஆம்... சாஷா ஃபியர்ஸ்"" ""என்ற ஆல்பத்திற்காக ஆண்டின் ஆல்பம், மற்றும்"" ""சிங்கிள் லேடிஸ் (புட் எ ரிங் ஆன் இட்)"" ""என்ற பாடலுக்கான ஆண்டின் சிறந்த பாடல் உள்ளிட்ட பத்து பரிந்துரைகளைப் பெற்றார். ஒரு பெண் கலைஞரால் ஒரு வருடத்தில் பெரும்பாலான கிராமி பரிந்துரைகளுக்கு அவர் லாரன் ஹில்லுடன் இணைந்தார். 2010 ஆம் ஆண்டில், லேடி காகாகாவின் ஒற்றை"" ""தொலைபேசி"" ""மற்றும் அதன் இசை வீடியோவில் பியோன்ஸிஜென் இடம்பெற்றது. அமெரிக்க பாப் பாடல்கள் பட்டியலில் இந்த பாடல் முதலிடத்தைப் பிடித்தது, 1992 ஆம் ஆண்டில் நீல்சன் டாப் ப்ளே துவங்கியதிலிருந்து மரியா கேரி உடன் அதிக எண்ணிக்கையிலான பாடல்களுக்கு ஆறாவது இடத்தைப் பிடித்தது.""",52-வது கிராமி விருது விழாவில் பெயோன்ஸ் எத்தனை விருதுகளுக்கு பரிந்துரைக்கப்பட்டார்?,பத்து,"At the 52nd Annual Grammy Awards, Beyoncé received ten nominations, including Album of the Year for I Am... Sasha Fierce, Record of the Year for ""Halo"", and Song of the Year for ""Single Ladies (Put a Ring on It)"", among others. She tied with Lauryn Hill for most Grammy nominations in a single year by a female artist. In 2010, Beyoncé was featured on Lady Gaga's single ""Telephone"" and its music video. The song topped the US Pop Songs chart, becoming the sixth number-one for both Beyoncé and Gaga, tying them with Mariah Carey for most number-ones since the Nielsen Top 40 airplay chart launched in 1992. ""Telephone"" received a Grammy Award nomination for Best Pop Collaboration with Vocals.",How many awards was Beyonce nominated for at the 52nd Grammy Awards?,ten,197
"""ஜனவரி 2010 இல் பியான்சியார்ட் தனது இசை வாழ்க்கையிலிருந்து ஒரு இடைவெளியை அறிவித்தார்,"" ""வாழ்க்கை வாழ, மீண்டும் விஷயங்களால் ஈர்க்கப்பட வேண்டும்"" ""என்ற தனது தாயின் அறிவுரைக்கு செவிசாய்த்தார். இடைவேளையின் போது அவரும் அவரது தந்தையும் வணிக கூட்டாளிகளாக பிரிந்தனர். பியான்சியார்டின் இசை இடைவேளை ஒன்பது மாதங்கள் நீடித்தது மற்றும் பல ஐரோப்பிய நகரங்களுக்கு, சீனாவின் பெரிய சுவர், எகிப்திய பிரமிடுகள், ஆஸ்திரேலியா, ஆங்கில இசை விழாக்கள் மற்றும் பல்வேறு அருங்காட்சியகங்கள் மற்றும் பாலே நிகழ்ச்சிகளுக்கு சென்றார்.""",எந்த வருடத்தில் பியான்சே இசையில் இருந்து ஓய்வு எடுப்பார்?,2010,"Beyoncé announced a hiatus from her music career in January 2010, heeding her mother's advice, ""to live life, to be inspired by things again"". During the break she and her father parted ways as business partners. Beyoncé's musical break lasted nine months and saw her visit multiple European cities, the Great Wall of China, the Egyptian pyramids, Australia, English music festivals and various museums and ballet performances.",Beyonce would take a break from music in which year?,2010,7
